"","age","ethnicity","gender"
"1",1,2,0
"2",1,2,0
"3",1,2,0
"4",1,2,0
"5",1,2,0
"6",1,2,0
"7",1,2,0
"8",1,2,0
"9",1,2,0
"10",1,2,0
"11",1,2,0
"12",1,2,0
"13",1,2,0
"14",1,2,0
"15",1,2,0
"16",1,2,0
"17",1,2,0
"18",1,2,0
"19",1,2,0
"20",1,2,0
"21",1,2,0
"22",1,2,0
"23",1,2,0
"24",1,2,0
"25",1,2,0
"26",1,2,0
"27",1,2,0
"28",1,2,0
"29",1,2,0
"30",1,2,0
"31",1,2,0
"32",1,2,0
"33",1,2,0
"34",1,2,0
"35",1,2,0
"36",1,2,0
"37",1,2,0
"38",1,2,0
"39",1,2,0
"40",1,2,0
"41",1,3,0
"42",1,3,0
"43",1,3,0
"44",1,3,0
"45",1,3,0
"46",1,3,0
"47",1,3,0
"48",1,3,0
"49",1,3,0
"50",1,3,0
"51",1,3,0
"52",1,3,0
"53",1,3,0
"54",1,3,0
"55",1,3,0
"56",1,3,0
"57",1,3,0
"58",1,3,0
"59",1,3,0
"60",1,3,0
"61",1,3,0
"62",1,3,0
"63",1,3,0
"64",1,3,0
"65",1,3,0
"66",1,3,0
"67",1,3,0
"68",1,3,0
"69",1,3,0
"70",1,3,0
"71",1,3,0
"72",1,3,0
"73",1,3,0
"74",1,3,0
"75",1,3,0
"76",1,3,0
"77",1,3,0
"78",1,3,0
"79",1,3,0
"80",1,2,0
"81",1,2,0
"82",1,2,0
"83",1,2,0
"84",1,2,0
"85",1,2,0
"86",1,2,0
"87",1,2,0
"88",1,2,0
"89",1,2,0
"90",1,2,0
"91",1,2,0
"92",1,2,0
"93",1,2,0
"94",1,2,0
"95",1,2,0
"96",1,2,0
"97",1,2,0
"98",1,2,0
"99",1,2,0
"100",1,2,0
"101",1,2,0
"102",1,2,0
"103",1,2,0
"104",1,2,0
"105",1,2,0
"106",1,2,0
"107",1,2,0
"108",1,2,0
"109",1,2,0
"110",1,2,0
"111",1,2,0
"112",1,2,0
"113",1,2,0
"114",1,2,0
"115",1,2,0
"116",1,2,0
"117",1,2,0
"118",1,2,0
"119",1,2,0
"120",1,2,0
"121",1,2,0
"122",1,2,0
"123",1,2,0
"124",1,2,0
"125",1,2,0
"126",1,2,0
"127",1,2,0
"128",1,2,0
"129",1,2,0
"130",1,2,0
"131",1,2,0
"132",1,2,0
"133",1,2,0
"134",1,2,0
"135",1,2,0
"136",1,2,0
"137",1,2,0
"138",1,2,0
"139",1,2,0
"140",1,2,0
"141",1,2,0
"142",1,2,0
"143",1,2,0
"144",1,2,0
"145",1,2,0
"146",1,2,0
"147",1,2,0
"148",1,2,0
"149",1,2,0
"150",1,2,0
"151",1,2,0
"152",1,2,0
"153",1,2,0
"154",1,2,0
"155",1,2,0
"156",1,2,0
"157",1,2,0
"158",1,2,0
"159",1,2,0
"160",1,3,0
"161",1,3,0
"162",1,4,0
"163",1,4,0
"164",1,4,0
"165",1,4,0
"166",1,4,0
"167",1,4,0
"168",1,4,0
"169",1,4,0
"170",1,4,0
"171",1,4,0
"172",1,4,0
"173",1,4,0
